tiempo_pc,letra,pulgar,indice,corazon,anular,menique,ax,ay,az,gx,gy,gz
2026-06-09T13:16:57.775,A,32.6,100.0,100.0,95.5,100.0,1.0167,-0.097,0.1611,0.0,0.0,0.0
2026-06-09T13:16:57.782,A,32.6,100.0,100.0,95.5,100.0,1.0164,-0.0972,0.1617,0.0,0.0,0.0
2026-06-09T13:16:57.887,A,32.6,100.0,100.0,95.5,100.0,1.0163,-0.096,0.1614,0.0,0.0,0.0
2026-06-09T13:16:57.992,A,32.6,100.0,100.0,95.6,100.0,1.0166,-0.0966,0.1604,0.0,0.0,0.0
2026-06-09T13:16:58.097,A,32.6,100.0,100.0,95.5,100.0,1.0168,-0.0963,0.1601,0.0,0.0,0.0
2026-06-09T13:16:58.202,A,32.7,100.0,100.0,95.5,100.0,1.017,-0.0964,0.161,0.0,0.0,0.0
2026-06-09T13:16:58.307,A,32.8,100.0,100.0,95.5,100.0,1.0168,-0.0968,0.1598,0.0,0.0,0.0
2026-06-09T13:16:58.412,A,32.9,100.0,100.0,95.5,100.0,1.0169,-0.0972,0.1612,0.0,0.0,0.0
2026-06-09T13:16:58.517,A,33.1,100.0,100.0,95.5,100.0,1.0169,-0.0992,0.1613,0.0,0.0,0.0
2026-06-09T13:16:58.622,A,33.3,100.0,100.0,95.5,100.0,1.0166,-0.0988,0.1625,0.0,0.0,0.0
2026-06-09T13:16:58.727,A,33.3,100.0,100.0,95.5,100.0,1.0167,-0.0992,0.1614,0.0,0.0,0.0
2026-06-09T13:16:58.832,A,33.4,100.0,100.0,95.5,100.0,1.0167,-0.0991,0.1617,0.0,0.0,0.0
2026-06-09T13:16:58.937,A,33.4,100.0,100.0,95.5,100.0,1.017,-0.0991,0.1619,0.0,0.0,0.0
2026-06-09T13:16:59.042,A,33.4,100.0,100.0,95.5,100.0,1.0166,-0.0985,0.1617,0.0,0.0,0.0
2026-06-09T13:16:59.147,A,33.3,100.0,100.0,95.5,100.0,1.0165,-0.098,0.1622,0.0,0.0,0.0
2026-06-09T13:16:59.252,A,33.2,100.0,100.0,95.5,100.0,1.016,-0.0976,0.1621,0.0,0.0,0.0
2026-06-09T13:16:59.357,A,33.2,100.0,100.0,95.6,100.0,1.0162,-0.0975,0.1631,0.0,0.0,0.0
2026-06-09T13:16:59.462,A,33.1,100.0,100.0,95.6,100.0,1.0161,-0.0976,0.1625,0.0,0.0,0.0
2026-06-09T13:16:59.567,A,33.1,100.0,100.0,95.6,100.0,1.0162,-0.0979,0.1633,0.0,0.0,0.0
2026-06-09T13:16:59.672,A,33.0,100.0,100.0,95.6,100.0,1.0165,-0.0985,0.1624,0.0,0.0,0.0
2026-06-09T13:16:59.777,A,33.0,100.0,100.0,95.6,100.0,1.0164,-0.0983,0.163,0.0,0.0,0.0
2026-06-09T13:16:59.882,A,33.0,100.0,100.0,95.6,100.0,1.0167,-0.0979,0.1618,0.0,0.0,0.0
