tiempo_pc,letra,pulgar,indice,corazon,anular,menique,ax,ay,az,gx,gy,gz
2026-06-12T17:16:09.791,A,51.8,68.9,65.9,87.8,67.8,1.2749,-0.1488,-1.234,0.0,0.0,0.0
2026-06-12T17:16:09.792,A,54.1,69.0,66.7,87.9,67.8,1.285,-0.1431,-1.2233,0.0,0.0,0.0
2026-06-12T17:16:09.792,A,56.6,69.2,67.7,87.9,67.6,1.2893,-0.1495,-1.2124,0.0,0.0,0.0
2026-06-12T17:16:09.792,A,58.3,69.2,69.1,87.9,67.4,1.292,-0.1509,-1.2037,0.0,0.0,0.0
2026-06-12T17:16:09.793,A,58.5,69.4,70.0,87.8,67.6,1.2934,-0.153,-1.1966,0.0,0.0,0.0
2026-06-12T17:16:09.793,A,58.2,69.5,71.0,87.6,67.8,1.2959,-0.1575,-1.1878,0.0,0.0,0.0
2026-06-12T17:16:09.794,A,57.8,69.8,72.0,87.6,68.0,1.2996,-0.1593,-1.1768,0.0,0.0,0.0
2026-06-12T17:16:09.794,A,57.2,69.9,72.6,87.5,68.4,1.3046,-0.1645,-1.1666,0.0,0.0,0.0
2026-06-12T17:16:09.913,A,554.1,70.1,75.6,87.1,70.9,1.308,-0.1692,-1.144,0.0,0.0,0.0
2026-06-12T17:16:10.075,A,54.7,70.1,75.6,87.0,71.1,1.3082,-0.1695,-1.1411,0.0,0.0,0.0
2026-06-12T17:16:10.237,A,55.6,70.1,75.8,87.0,71.3,1.3085,-0.1697,-1.1385,0.0,0.0,0.0
2026-06-12T17:16:10.399,A,53.5,70.3,75.7,86.9,71.5,1.3095,-0.1714,-1.1345,0.0,0.0,0.0
2026-06-12T17:16:10.561,A,51.3,70.4,75.6,87.0,71.6,1.3102,-0.1715,-1.1321,0.0,0.0,0.0
2026-06-12T17:16:10.723,A,49.2,70.3,75.5,86.9,71.8,1.3102,-0.172,-1.129,0.0,0.0,0.0
2026-06-12T17:16:10.885,A,47.1,70.3,75.4,86.9,72.0,1.3111,-0.1717,-1.1266,0.0,0.0,0.0
2026-06-12T17:16:11.047,A,45.0,70.4,75.4,86.9,72.2,1.312,-0.1717,-1.1246,0.0,0.0,0.0
2026-06-12T17:16:11.209,A,42.9,70.4,75.4,86.8,72.4,1.3114,-0.1725,-1.1225,0.0,0.0,0.0
2026-06-12T17:16:11.371,A,40.7,70.4,75.3,86.8,72.5,1.3123,-0.1717,-1.1203,0.0,0.0,0.0
2026-06-12T17:16:11.533,A,38.5,70.4,75.3,86.7,72.7,1.3134,-0.173,-1.1197,0.0,0.0,0.0
2026-06-12T17:16:11.695,A,36.1,70.5,75.4,86.7,72.9,1.3131,-0.174,-1.1176,0.0,0.0,0.0
2026-06-12T17:16:11.857,A,33.4,70.6,75.4,86.7,73.1,1.3123,-0.1747,-1.1169,0.0,0.0,0.0
2026-06-12T17:16:12.019,A,33.5,70.6,75.3,86.6,73.0,1.3125,-0.1751,-1.1155,0.0,0.0,0.0
2026-06-12T17:16:12.181,A,33.5,70.6,75.1,86.5,73.0,1.3136,-0.1749,-1.115,0.0,0.0,0.0
2026-06-12T17:16:12.343,A,33.7,70.6,75.0,86.4,72.9,1.3144,-0.1758,-1.1134,0.0,0.0,0.0
2026-06-12T17:16:12.505,A,33.7,70.6,74.9,86.3,72.9,1.3146,-0.1765,-1.1122,0.0,0.0,0.0
2026-06-12T17:16:12.667,A,33.7,70.7,74.6,86.2,73.1,1.3151,-0.1761,-1.1113,0.0,0.0,0.0
2026-06-12T17:16:12.829,A,33.6,70.7,74.5,86.1,73.3,1.3154,-0.1764,-1.1104,0.0,0.0,0.0
2026-06-12T17:16:12.991,A,33.7,70.7,74.2,86.0,73.3,1.3147,-0.1766,-1.109,0.0,0.0,0.0
2026-06-12T17:16:13.153,A,34.0,70.8,74.2,85.9,73.3,1.3147,-0.1771,-1.1096,0.0,0.0,0.0
2026-06-12T17:16:13.315,A,34.0,70.9,74.2,85.8,73.3,1.3146,-0.1778,-1.1094,0.0,0.0,0.0
2026-06-12T17:16:13.477,A,34.0,70.9,74.2,85.7,73.3,1.3144,-0.1781,-1.1101,0.0,0.0,0.0
2026-06-12T17:16:13.639,A,34.1,70.8,74.1,85.6,73.2,1.3144,-0.1781,-1.1101,0.0,0.0,0.0
2026-06-12T17:16:13.801,A,34.2,70.8,74.1,85.5,73.1,1.3146,-0.1779,-1.1111,0.0,0.0,0.0
2026-06-12T17:16:13.963,A,34.2,71.0,74.1,85.4,73.0,1.3142,-0.1786,-1.1104,0.0,0.0,0.0
2026-06-12T17:16:14.125,A,34.1,71.1,74.0,85.3,72.9,1.3144,-0.1782,-1.1099,0.0,0.0,0.0
2026-06-12T17:16:14.287,A,34.2,71.1,73.9,85.3,72.9,1.3138,-0.178,-1.1103,0.0,0.0,0.0
2026-06-12T17:16:14.449,A,34.2,71.2,73.9,85.3,72.9,1.3145,-0.1791,-1.1096,0.0,0.0,0.0
