Pulgar (Flexión 0-100),Índice (Flexión 0-100),Corazón (Flexión 0-100),Anular (Flexión 0-100),Meñique (Flexión 0-100),AX (Acelerómetro X en Gs),AY (Acelerómetro Y en Gs),AZ (Acelerómetro Z en Gs),GX (Giroscopio X en grados/seg),GY (Giroscopio Y en grados/seg),GZ (Giroscopio Z en grados/seg),Letra
21.3,100.0,67.9,65.1,86.5,1.0048,-0.1069,0.2032,0.0,0.0,0.0,A
22.0,100.0,67.7,65.1,86.8,1.0065,-0.1074,0.2077,0.0,0.0,0.0,A
22.3,100.0,67.5,65.2,87.1,1.0103,-0.1045,0.2126,0.0,0.0,0.0,A
22.6,100.0,67.5,65.2,87.5,1.0138,-0.1015,0.2188,0.0,0.0,0.0,A
22.5,100.0,67.1,65.2,87.8,1.0148,-0.1016,0.2244,0.0,0.0,0.0,A
22.5,100.0,67.1,65.2,87.9,1.015,-0.1019,0.2274,0.0,0.0,0.0,A
22.4,100.0,67.0,65.2,88.0,1.0123,-0.102,0.2321,0.0,0.0,0.0,A
22.4,100.0,66.9,65.3,88.1,1.0086,-0.1065,0.2381,0.0,0.0,0.0,A
21.6,100.0,60.9,65.5,89.5,1.006,-0.1369,0.1862,0.0,0.0,0.0,A
21.7,100.0,59.5,65.5,89.5,1.0041,-0.1385,0.1892,0.0,0.0,0.0,A
21.7,100.0,58.1,65.5,89.5,1.0017,-0.1392,0.1956,0.0,0.0,0.0,A
21.8,100.0,57.2,65.5,89.5,0.9999,-0.1409,0.2032,0.0,0.0,0.0,A
22.0,100.0,55.9,65.5,89.5,1.0017,-0.1378,0.2028,0.0,0.0,0.0,A
22.1,100.0,54.4,65.5,89.5,1.0065,-0.1352,0.2019,0.0,0.0,0.0,A
22.2,100.0,53.2,65.5,89.5,1.0097,-0.1341,0.2037,0.0,0.0,0.0,A
22.3,100.0,51.7,65.5,89.5,1.0094,-0.1333,0.21,0.0,0.0,0.0,A
22.5,100.0,50.7,65.4,89.5,1.0073,-0.1311,0.214,0.0,0.0,0.0,A
22.6,100.0,49.5,65.4,89.5,1.0057,-0.1307,0.2164,0.0,0.0,0.0,A
22.7,100.0,47.9,65.4,89.5,1.0047,-0.133,0.2192,0.0,0.0,0.0,A
22.8,100.0,46.7,65.4,89.5,1.0036,-0.1333,0.2237,0.0,0.0,0.0,A
22.9,100.0,45.9,65.4,89.5,1.0029,-0.1327,0.2274,0.0,0.0,0.0,A
23.1,100.0,44.7,65.4,89.5,1.0017,-0.1326,0.2287,0.0,0.0,0.0,A
23.1,100.0,43.3,65.4,89.5,1.0006,-0.1337,0.2293,0.0,0.0,0.0,A
23.2,100.0,42.2,65.3,89.5,1.0006,-0.1356,0.2317,0.0,0.0,0.0,A
23.1,100.0,41.3,65.3,89.4,1.0005,-0.1357,0.2344,0.0,0.0,0.0,A
22.9,100.0,41.0,65.3,89.4,1.0005,-0.1353,0.2366,0.0,0.0,0.0,A
22.8,100.0,40.0,65.3,89.4,0.9999,-0.1359,0.2372,0.0,0.0,0.0,A
22.7,100.0,40.3,65.3,89.4,0.9999,-0.1374,0.2374,0.0,0.0,0.0,A
22.5,100.0,40.4,65.3,89.3,0.9995,-0.1371,0.2383,0.0,0.0,0.0,A
22.4,100.0,40.4,65.4,89.3,0.9988,-0.1377,0.2379,0.0,0.0,0.0,A
22.3,100.0,40.7,65.4,88.8,0.9982,-0.1378,0.2375,0.0,0.0,0.0,A
22.1,100.0,41.6,65.4,88.4,0.9985,-0.1392,0.2355,0.0,0.0,0.0,A
21.8,100.0,42.9,65.3,88.3,0.9981,-0.1401,0.2352,0.0,0.0,0.0,A
21.5,100.0,42.9,65.4,88.1,0.9983,-0.138,0.2344,0.0,0.0,0.0,A
21.5,100.0,43.5,65.4,87.8,1.0003,-0.1407,0.2317,0.0,0.0,0.0,A
22.1,100.0,46.8,65.5,87.2,0.9944,-0.1403,0.2361,0.0,0.0,0.0,A
22.1,100.0,49.7,65.7,86.6,0.9987,-0.1438,0.2368,0.0,0.0,0.0,A
22.3,100.0,52.4,65.7,86.4,0.9977,-0.1451,0.2387,0.0,0.0,0.0,A
22.4,100.0,55.4,65.8,86.1,0.9989,-0.1464,0.2363,0.0,0.0,0.0,A
22.5,100.0,58.7,65.9,85.9,0.9989,-0.1475,0.2355,0.0,0.0,0.0,A
22.6,100.0,63.2,66.1,85.6,0.9969,-0.1471,0.2364,0.0,0.0,0.0,A
22.6,100.0,66.5,66.3,85.1,0.9983,-0.1491,0.2353,0.0,0.0,0.0,A
22.5,100.0,69.3,66.5,84.8,0.9981,-0.1516,0.2378,0.0,0.0,0.0,A
22.4,100.0,72.5,66.8,84.4,0.9977,-0.1527,0.2369,0.0,0.0,0.0,A
22.4,100.0,75.8,67.2,84.3,0.9979,-0.1537,0.2355,0.0,0.0,0.0,A
22.0,100.0,79.4,67.6,84.2,0.9974,-0.1542,0.2358,0.0,0.0,0.0,A
21.8,100.0,83.2,68.1,84.0,0.997,-0.1551,0.2359,0.0,0.0,0.0,A
21.4,100.0,87.2,68.6,83.9,0.996,-0.1563,0.237,0.0,0.0,0.0,A
20.9,100.0,91.3,69.0,83.8,0.9963,-0.1562,0.2367,0.0,0.0,0.0,A
20.6,100.0,95.4,69.2,83.6,0.9968,-0.1569,0.2368,0.0,0.0,0.0,A
20.4,100.0,98.9,69.2,83.4,0.9968,-0.157,0.2386,0.0,0.0,0.0,A
20.5,100.0,100.0,69.3,83.2,0.9969,-0.1577,0.2392,0.0,0.0,0.0,A
