Pulgar (Flexión 0-100),Índice (Flexión 0-100),Corazón (Flexión 0-100),Anular (Flexión 0-100),Meñique (Flexión 0-100),AX (Acelerómetro X en Gs),AY (Acelerómetro Y en Gs),AZ (Acelerómetro Z en Gs),GX (Giroscopio X en grados/seg),GY (Giroscopio Y en grados/seg),GZ (Giroscopio Z en grados/seg)
32.6,100.0,100.0,95.5,100.0,1.0167,-0.097,0.1611,0.0,0.0,0.0
32.6,100.0,100.0,95.5,100.0,1.0164,-0.0972,0.1617,0.0,0.0,0.0
32.6,100.0,100.0,95.5,100.0,1.0163,-0.096,0.1614,0.0,0.0,0.0
32.6,100.0,100.0,95.6,100.0,1.0166,-0.0966,0.1604,0.0,0.0,0.0
32.6,100.0,100.0,95.5,100.0,1.0168,-0.0963,0.1601,0.0,0.0,0.0
32.7,100.0,100.0,95.5,100.0,1.017,-0.0964,0.161,0.0,0.0,0.0
32.8,100.0,100.0,95.5,100.0,1.0168,-0.0968,0.1598,0.0,0.0,0.0
32.9,100.0,100.0,95.5,100.0,1.0169,-0.0972,0.1612,0.0,0.0,0.0
33.1,100.0,100.0,95.5,100.0,1.0169,-0.0992,0.1613,0.0,0.0,0.0
33.3,100.0,100.0,95.5,100.0,1.0166,-0.0988,0.1625,0.0,0.0,0.0
33.3,100.0,100.0,95.5,100.0,1.0167,-0.0992,0.1614,0.0,0.0,0.0
33.4,100.0,100.0,95.5,100.0,1.0167,-0.0991,0.1617,0.0,0.0,0.0
33.4,100.0,100.0,95.5,100.0,1.017,-0.0991,0.1619,0.0,0.0,0.0
33.4,100.0,100.0,95.5,100.0,1.0166,-0.0985,0.1617,0.0,0.0,0.0
33.3,100.0,100.0,95.5,100.0,1.0165,-0.098,0.1622,0.0,0.0,0.0
33.2,100.0,100.0,95.5,100.0,1.016,-0.0976,0.1621,0.0,0.0,0.0
33.2,100.0,100.0,95.6,100.0,1.0162,-0.0975,0.1631,0.0,0.0,0.0
33.1,100.0,100.0,95.6,100.0,1.0161,-0.0976,0.1625,0.0,0.0,0.0
33.1,100.0,100.0,95.6,100.0,1.0162,-0.0979,0.1633,0.0,0.0,0.0
33.0,100.0,100.0,95.6,100.0,1.0165,-0.0985,0.1624,0.0,0.0,0.0
33.0,100.0,100.0,95.6,100.0,1.0164,-0.0983,0.163,0.0,0.0,0.0
33.0,100.0,100.0,95.6,100.0,1.0167,-0.0979,0.1618,0.0,0.0,0.0
33.0,100.0,100.0,95.6,100.0,1.0166,-0.0982,0.1623,0.0,0.0,0.0
32.8,100.0,100.0,95.6,100.0,1.0169,-0.0976,0.1622,0.0,0.0,0.0
32.6,100.0,100.0,95.6,100.0,1.017,-0.0977,0.1622,0.0,0.0,0.0
32.3,100.0,100.0,95.6,100.0,1.0173,-0.0989,0.1622,0.0,0.0,0.0
32.2,100.0,100.0,95.6,100.0,1.0172,-0.0999,0.1629,0.0,0.0,0.0
32.2,100.0,100.0,95.6,100.0,1.0173,-0.1001,0.1626,0.0,0.0,0.0
31.8,100.0,100.0,95.6,100.0,1.0175,-0.1,0.1631,0.0,0.0,0.0
31.8,100.0,100.0,95.6,100.0,1.0174,-0.1004,0.1626,0.0,0.0,0.0
31.8,100.0,100.0,95.6,100.0,1.0169,-0.0989,0.1628,0.0,0.0,0.0
31.9,100.0,100.0,95.6,100.0,1.0164,-0.0978,0.1619,0.0,0.0,0.0
31.9,100.0,100.0,95.6,100.0,1.0165,-0.0958,0.1614,0.0,0.0,0.0
32.0,100.0,100.0,95.6,100.0,1.0166,-0.0968,0.1603,0.0,0.0,0.0
32.1,100.0,100.0,95.6,100.0,1.0162,-0.0961,0.1599,0.0,0.0,0.0
32.2,100.0,100.0,95.6,100.0,1.0165,-0.0961,0.1609,0.0,0.0,0.0
32.3,100.0,100.0,95.6,100.0,1.0168,-0.0974,0.1608,0.0,0.0,0.0
32.4,100.0,100.0,95.6,100.0,1.0174,-0.0974,0.1586,0.0,0.0,0.0
32.5,100.0,100.0,95.6,100.0,1.018,-0.0993,0.1586,0.0,0.0,0.0
32.6,100.0,100.0,95.6,100.0,1.0179,-0.0998,0.1583,0.0,0.0,0.0
32.7,100.0,100.0,95.6,100.0,1.0182,-0.1013,0.1589,0.0,0.0,0.0
32.8,100.0,100.0,95.6,100.0,1.0184,-0.1012,0.1578,0.0,0.0,0.0
32.8,100.0,100.0,95.6,100.0,1.0186,-0.1009,0.1569,0.0,0.0,0.0
32.9,100.0,100.0,95.6,100.0,1.0188,-0.1006,0.1564,0.0,0.0,0.0
32.9,100.0,100.0,95.6,100.0,1.0188,-0.0993,0.1552,0.0,0.0,0.0
33.0,100.0,100.0,95.6,100.0,1.0183,-0.0988,0.1552,0.0,0.0,0.0
33.0,100.0,100.0,95.6,100.0,1.0181,-0.0984,0.1558,0.0,0.0,0.0
33.1,100.0,100.0,95.6,100.0,1.0179,-0.0973,0.155,0.0,0.0,0.0
33.1,100.0,100.0,95.6,100.0,1.0177,-0.0966,0.154,0.0,0.0,0.0
33.2,100.0,100.0,95.7,100.0,1.0175,-0.0963,0.1538,0.0,0.0,0.0
33.3,100.0,100.0,95.7,100.0,1.0176,-0.0963,0.1534,0.0,0.0,0.0
33.4,100.0,100.0,95.7,100.0,1.0181,-0.0958,0.1526,0.0,0.0,0.0
33.5,100.0,100.0,95.7,100.0,1.0179,-0.0953,0.1528,0.0,0.0,0.0
33.5,100.0,100.0,95.7,100.0,1.0177,-0.095,0.1529,0.0,0.0,0.0
33.6,100.0,100.0,95.7,100.0,1.0179,-0.0954,0.1512,0.0,0.0,0.0
33.7,100.0,100.0,95.7,100.0,1.0181,-0.0958,0.1521,0.0,0.0,0.0
33.8,100.0,100.0,95.7,100.0,1.0181,-0.0957,0.1516,0.0,0.0,0.0
33.9,100.0,100.0,95.7,100.0,1.0183,-0.0944,0.1512,0.0,0.0,0.0
34.0,100.0,100.0,95.7,100.0,1.0184,-0.0942,0.1498,0.0,0.0,0.0
34.1,100.0,100.0,95.7,100.0,1.0185,-0.0945,0.1497,0.0,0.0,0.0
34.2,100.0,100.0,95.7,100.0,1.0184,-0.0943,0.1514,0.0,0.0,0.0
34.3,100.0,100.0,95.7,100.0,1.0183,-0.0953,0.1514,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.018,-0.0943,0.1507,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.0182,-0.0939,0.1504,0.0,0.0,0.0
34.5,100.0,100.0,95.7,100.0,1.0186,-0.0943,0.1502,0.0,0.0,0.0
34.6,100.0,100.0,95.7,100.0,1.0189,-0.0952,0.1509,0.0,0.0,0.0
34.7,100.0,100.0,95.7,100.0,1.0192,-0.0947,0.1496,0.0,0.0,0.0
34.7,100.0,100.0,95.7,100.0,1.0185,-0.0945,0.1499,0.0,0.0,0.0
34.8,100.0,100.0,95.7,100.0,1.0176,-0.0951,0.1503,0.0,0.0,0.0
34.8,100.0,100.0,95.7,100.0,1.0174,-0.0946,0.1507,0.0,0.0,0.0
34.8,100.0,100.0,95.7,100.0,1.018,-0.0938,0.1503,0.0,0.0,0.0
34.7,100.0,100.0,95.7,100.0,1.0182,-0.0938,0.1497,0.0,0.0,0.0
34.7,100.0,100.0,95.7,100.0,1.0188,-0.0942,0.1497,0.0,0.0,0.0
34.6,100.0,100.0,95.7,100.0,1.0184,-0.0939,0.1489,0.0,0.0,0.0
34.5,100.0,100.0,95.7,100.0,1.0183,-0.0938,0.1495,0.0,0.0,0.0
34.5,100.0,100.0,95.7,100.0,1.0181,-0.0945,0.1487,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.0183,-0.095,0.1497,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.0181,-0.0944,0.1491,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.0182,-0.0948,0.15,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.018,-0.0954,0.149,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.018,-0.0956,0.1497,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.0181,-0.0955,0.1496,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.0181,-0.0961,0.15,0.0,0.0,0.0
34.4,100.0,100.0,95.7,100.0,1.018,-0.0953,0.1493,0.0,0.0,0.0
34.3,100.0,100.0,95.7,100.0,1.0178,-0.0959,0.1496,0.0,0.0,0.0
34.3,100.0,100.0,95.7,100.0,1.0174,-0.0947,0.1492,0.0,0.0,0.0
34.3,100.0,100.0,95.7,100.0,1.0174,-0.0947,0.1489,0.0,0.0,0.0
34.3,100.0,100.0,95.7,100.0,1.0177,-0.0948,0.1483,0.0,0.0,0.0
34.2,100.0,100.0,95.7,100.0,1.0181,-0.0953,0.1476,0.0,0.0,0.0
34.2,100.0,100.0,95.7,100.0,1.0181,-0.0948,0.148,0.0,0.0,0.0
34.2,100.0,100.0,95.7,100.0,1.0184,-0.0954,0.1472,0.0,0.0,0.0
34.1,100.0,100.0,95.7,100.0,1.0185,-0.0947,0.1471,0.0,0.0,0.0
34.1,100.0,100.0,95.7,100.0,1.0186,-0.0946,0.1463,0.0,0.0,0.0
34.0,100.0,100.0,95.7,100.0,1.0189,-0.0945,0.1465,0.0,0.0,0.0
34.0,100.0,100.0,95.8,100.0,1.019,-0.0945,0.1466,0.0,0.0,0.0
34.0,100.0,100.0,95.8,100.0,1.019,-0.094,0.1461,0.0,0.0,0.0
33.9,100.0,100.0,95.8,100.0,1.0193,-0.0936,0.1464,0.0,0.0,0.0
33.9,100.0,100.0,95.8,100.0,1.0193,-0.0936,0.1463,0.0,0.0,0.0
44.4,0.0,0.0,0.0,0.0,0.1195,0.9955,-0.0057,0.0,0.0,0.0
44.1,0.0,0.0,0.0,0.0,0.1323,0.9912,-0.0207,0.0,0.0,0.0
43.8,0.0,0.0,0.0,0.0,0.1384,0.9919,-0.0278,0.0,0.0,0.0
43.5,0.0,0.0,0.0,0.0,0.147,0.9937,-0.027,0.0,0.0,0.0
43.3,0.0,0.0,0.0,0.0,0.1529,0.9864,-0.0208,0.0,0.0,0.0
42.9,0.0,0.0,0.0,0.0,0.1624,0.9827,-0.0248,0.0,0.0,0.0
42.5,0.0,0.0,0.0,0.0,0.1777,0.9769,-0.0333,0.0,0.0,0.0
42.2,0.0,0.0,0.0,0.0,0.1784,0.9801,-0.0365,0.0,0.0,0.0
42.1,0.0,0.0,0.0,0.0,0.1767,0.9845,-0.0398,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.1786,0.9868,-0.039,0.0,0.0,0.0
41.9,0.0,0.0,0.0,0.0,0.1774,0.9842,-0.035,0.0,0.0,0.0
41.7,0.0,0.0,0.0,0.0,0.1765,0.9863,-0.0348,0.0,0.0,0.0
41.5,0.0,0.0,0.0,0.0,0.1774,0.9869,-0.0358,0.0,0.0,0.0
41.4,0.0,0.0,0.0,0.0,0.1743,0.9867,-0.0339,0.0,0.0,0.0
41.5,0.0,0.0,0.0,0.0,0.1722,0.9875,-0.038,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.169,0.9876,-0.0348,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1674,0.9876,-0.0347,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1678,0.9874,-0.0353,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1678,0.9887,-0.0326,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1683,0.988,-0.0323,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1684,0.989,-0.032,0.0,0.0,0.0
41.5,0.0,0.0,0.0,0.0,0.1678,0.9905,-0.0325,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1683,0.9888,-0.0329,0.0,0.0,0.0
41.8,0.0,0.0,0.0,0.0,0.168,0.9889,-0.0315,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.1679,0.989,-0.033,0.0,0.0,0.0
42.2,0.0,0.0,0.0,0.0,0.1675,0.9893,-0.0331,0.0,0.0,0.0
42.2,0.0,0.0,0.0,0.0,0.1676,0.9894,-0.0327,0.0,0.0,0.0
42.2,0.0,0.0,0.0,0.0,0.169,0.9874,-0.0347,0.0,0.0,0.0
42.1,0.0,0.0,0.0,0.0,0.169,0.9878,-0.0349,0.0,0.0,0.0
41.9,0.0,0.0,0.0,0.0,0.1702,0.9859,-0.0328,0.0,0.0,0.0
41.8,0.0,0.0,0.0,0.0,0.1689,0.9825,-0.0359,0.0,0.0,0.0
41.7,0.0,0.0,0.0,0.0,0.1669,0.9827,-0.0385,0.0,0.0,0.0
41.6,0.0,0.0,0.0,0.0,0.1733,0.9796,-0.0452,0.0,0.0,0.0
41.7,0.0,0.0,0.0,0.0,0.1615,0.9794,-0.0664,0.0,0.0,-4.3552
41.8,0.0,0.0,0.0,0.0,0.1431,0.9799,-0.0775,0.0,0.0,-6.2299
41.8,0.0,0.0,0.0,0.0,0.1246,0.9763,-0.0749,0.0,0.0,-8.0828
41.5,0.0,0.0,0.0,0.0,0.1018,0.9783,-0.0702,0.0,0.0,-8.2091
41.5,0.0,0.0,0.0,0.0,0.0816,0.9788,-0.0868,0.0,0.0,-9.1053
41.5,0.0,0.0,0.0,0.0,0.0646,0.9853,-0.0976,0.0,0.0,-9.5058
41.5,0.0,0.0,0.0,0.0,0.0515,0.9827,-0.1016,0.0,0.0,-9.1944
41.6,0.0,0.0,0.0,0.0,0.0399,0.9828,-0.1069,0.0,0.0,-9.0279
41.7,0.0,0.0,0.0,0.0,0.03,0.9856,-0.1087,0.0,0.0,-8.7361
41.8,0.0,0.0,0.0,0.0,0.0247,0.9846,-0.109,0.0,0.0,-8.6727
41.7,0.0,0.0,0.0,0.0,0.0173,0.9885,-0.1096,0.0,0.0,-8.8103
41.8,0.0,0.0,0.0,0.0,0.0112,0.9883,-0.1099,0.0,0.0,-8.5563
42.0,0.0,0.0,0.0,0.0,0.0078,0.9859,-0.1083,0.0,0.0,-8.207
42.2,0.0,0.0,0.0,0.0,0.0043,0.9865,-0.1063,0.0,0.0,-8.1561
42.3,0.0,0.0,0.0,0.0,0.0004,0.9879,-0.1062,0.0,0.0,-8.1133
42.4,0.0,0.0,0.0,0.0,-0.0024,0.9873,-0.1057,0.0,0.0,-8.0015
42.6,0.0,0.0,0.0,0.0,-0.0044,0.986,-0.1037,0.0,0.0,-8.0405
42.7,0.0,0.0,0.0,0.0,-0.0074,0.9881,-0.1017,0.0,0.0,-8.1917
42.9,0.0,0.0,0.0,0.0,-0.0101,0.9886,-0.1001,0.0,0.0,-7.9537
43.0,0.0,0.0,0.0,0.0,-0.012,0.9863,-0.1,0.0,0.0,-7.9724
43.2,0.0,0.0,0.0,0.0,-0.0137,0.988,-0.0986,0.0,0.0,-7.8861
43.4,0.0,0.0,0.0,0.0,-0.0144,0.9885,-0.0981,0.0,0.0,-7.6703
43.5,0.0,0.0,0.0,0.0,-0.0147,0.9895,-0.0974,0.0,0.0,-7.3776
43.6,0.0,0.0,0.0,0.0,-0.0146,0.9866,-0.0958,0.0,0.0,-7.0432
43.7,0.0,0.0,0.0,0.0,-0.014,0.9882,-0.0924,0.0,0.0,-6.8308
43.9,0.0,0.0,0.0,0.0,-0.0127,0.9892,-0.0895,0.0,0.0,-6.8991
44.1,0.0,0.0,0.0,0.0,-0.0104,0.9897,-0.0867,0.0,0.0,-6.8728
44.2,0.0,0.0,0.0,0.0,-0.0088,0.9884,-0.0855,0.0,0.0,-6.853
44.4,0.0,0.0,0.0,0.0,-0.0071,0.9884,-0.0842,0.0,0.0,-7.039
